Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Finland,Finland,1990,EFConsPerCap,null,null,null,null,null,null,7.19353115318796,2A,FI
Finland,Finland,1991,BiocapPerCap,null,null,null,null,null,null,13.3325422839983,2A,FI
Finland,Finland,1991,EFConsPerCap,null,null,null,null,null,null,5.50253749389268,2A,FI
Finland,Finland,1992,BiocapPerCap,null,null,null,null,null,null,13.2353512806978,2A,FI
Finland,Finland,1992,EFConsPerCap,null,null,null,null,null,null,5.59534958875417,2A,FI
Finland,Finland,1993,BiocapPerCap,null,null,null,null,null,null,13.3872515604986,2A,FI
Finland,Finland,1993,EFConsPerCap,null,null,null,null,null,null,5.34750732681857,2A,FI
Finland,Finland,1994,BiocapPerCap,null,null,null,null,null,null,13.4335211565684,2A,FI
Finland,Finland,1994,EFConsPerCap,null,null,null,null,null,null,6.3815396653797,2A,FI
Finland,Finland,1995,BiocapPerCap,null,null,null,null,null,null,13.2843128400733,2A,FI
Finland,Finland,1995,EFConsPerCap,null,null,null,null,null,null,7.00785767869217,2A,FI
Finland,Finland,1996,BiocapPerCap,null,null,null,null,null,null,13.2759062253051,2A,FI
Finland,Finland,1996,EFConsPerCap,null,null,null,null,null,null,6.60926795323894,2A,FI
Finland,Finland,1997,BiocapPerCap,null,null,null,null,null,null,13.2270306970244,2A,FI
Finland,Finland,1997,EFConsPerCap,null,null,null,null,null,null,6.0886444559889,2A,FI
Finland,Finland,1998,BiocapPerCap,null,null,null,null,null,null,12.9421151496294,2A,FI
Finland,Finland,1998,EFConsPerCap,null,null,null,null,null,null,6.01179244731036,2A,FI
Finland,Finland,1999,BiocapPerCap,null,null,null,null,null,null,12.9855879988157,2A,FI
Finland,Finland,1999,EFConsPerCap,null,null,null,null,null,null,6.04827200706084,2A,FI
Finland,Finland,2000,BiocapPerCap,null,null,null,null,null,null,13.279381408917,2A,FI
Finland,Finland,2000,EFConsPerCap,null,null,null,null,null,null,6.5686603176516,2A,FI
Finland,Finland,2001,BiocapPerCap,null,null,null,null,null,null,13.2194643941458,2A,FI
Finland,Finland,2001,EFConsPerCap,null,null,null,null,null,null,7.27614175200161,2A,FI
Finland,Finland,2002,BiocapPerCap,null,null,null,null,null,null,13.2411921340506,2A,FI
Finland,Finland,2002,EFConsPerCap,null,null,null,null,null,null,6.73813570094452,2A,FI
Finland,Finland,2003,BiocapPerCap,null,null,null,null,null,null,13.14040476517,2A,FI
Finland,Finland,2003,EFConsPerCap,null,null,null,null,null,null,6.89142658333607,2A,FI
Finland,Finland,2004,BiocapPerCap,null,null,null,null,null,null,12.9741974839098,2A,FI
Finland,Finland,2004,EFConsPerCap,null,null,null,null,null,null,6.48480276235771,2A,FI
Finland,Finland,2005,BiocapPerCap,null,null,null,null,null,null,13.0545078856513,2A,FI
Finland,Finland,2005,EFConsPerCap,null,null,null,null,null,null,7.67697078097591,2A,FI
Finland,Finland,2006,BiocapPerCap,null,null,null,null,null,null,12.9396543928822,2A,FI
Finland,Finland,2006,EFConsPerCap,null,null,null,null,null,null,6.69233289453139,2A,FI
Finland,Finland,2007,BiocapPerCap,null,null,null,null,null,null,13.0114063973351,2A,FI
Finland,Finland,2007,EFConsPerCap,null,null,null,null,null,null,7.0143026191236,2A,FI
Finland,Finland,2008,BiocapPerCap,null,null,null,null,null,null,12.8487045069187,2A,FI
Finland,Finland,2008,EFConsPerCap,null,null,null,null,null,null,7.2093547380518,2A,FI
Finland,Finland,2009,BiocapPerCap,null,null,null,null,null,null,12.7955737271294,2A,FI
Finland,Finland,2009,EFConsPerCap,null,null,null,null,null,null,6.01252961062008,2A,FI
Finland,Finland,2010,BiocapPerCap,null,null,null,null,null,null,12.490706921759,2A,FI
Finland,Finland,2010,EFConsPerCap,null,null,null,null,null,null,6.28309655586502,2A,FI
Finland,Finland,2011,BiocapPerCap,null,null,null,null,null,null,12.5378006279083,2A,FI
Finland,Finland,2011,EFConsPerCap,null,null,null,null,null,null,6.22758054675973,2A,FI
Finland,Finland,2012,BiocapPerCap,null,null,null,null,null,null,12.4559241594231,2A,FI
Finland,Finland,2012,EFConsPerCap,null,null,null,null,null,null,6.07284406855227,2A,FI
Finland,Finland,2013,BiocapPerCap,null,null,null,null,null,null,12.4511184788985,2A,FI
Finland,Finland,2013,EFConsPerCap,null,null,null,null,null,null,6.32891862344938,2A,FI
Finland,Finland,2014,BiocapPerCap,null,null,null,null,null,null,12.3825672806477,2A,FI
Finland,Finland,2014,EFConsPerCap,null,null,null,null,null,null,5.90866376948449,2A,FI
Finland,Finland,2015,BiocapPerCap,null,null,null,null,null,null,12.2585421700709,2A,FI
Finland,Finland,2015,EFConsPerCap,null,null,null,null,null,null,5.78857191753182,2A,FI
Finland,Finland,2016,BiocapPerCap,null,null,null,null,null,null,12.2145421056304,2A,FI
Finland,Finland,2016,EFConsPerCap,null,null,null,null,null,null,6.09176899626021,2A,FI
Finland,Finland,2017,BiocapPerCap,null,null,null,null,null,null,12.239052000197,2A,FI
Finland,Finland,2017,EFConsPerCap,null,null,null,null,null,null,6.10485007503215,2A,FI
Finland,Finland,2018,BiocapPerCap,null,null,null,null,null,null,11.9783310133732,2A,FI
Finland,Finland,2018,EFConsPerCap,null,null,null,null,null,null,6.40103737947021,2A,FI
Finland,Finland,2019,BiocapPerCap,null,null,null,null,null,null,12.2643313802687,2A,FI
Finland,Finland,2019,EFConsPerCap,null,null,null,null,null,null,5.43160504050216,2A,FI
Finland,Finland,2020,BiocapPerCap,null,null,null,null,null,null,12.0765328134157,2A,FI
Finland,Finland,2020,EFConsPerCap,null,null,null,null,null,null,5.50063515033515,2A,FI
Finland,Finland,2021,BiocapPerCap,null,null,null,null,null,null,11.8250172785141,2A,FI
Finland,Finland,2021,EFConsPerCap,null,null,null,null,null,null,5.91473016617561,2A,FI
Finland,Finland,2022,BiocapPerCap,null,null,null,null,null,null,12.0439690951595,2A,FI
Finland,Finland,2022,EFConsPerCap,null,null,null,null,null,null,6.44234760805553,2A,FI
Finland,Finland,2023,BiocapPerCap,null,null,null,null,null,null,12.0306896884041,2A,FI
Finland,Finland,2023,EFConsPerCap,null,null,null,null,null,null,6.08506237912639,2A,FI
Finland,Finland,2024,BiocapPerCap,0.209062543037998,0,0.835074842655136,2.26784800760157,8.61972467693852,0.0861322186095874,12.0178422888428,2A,FI
Finland,Finland,2024,EFConsPerCap,0.209062543037998,2.71935424388844,1.04407493267528,0.161532142239278,1.68375854747799,0.172741458498324,5.99052386781732,2A,FI
